accession,cluster,split
Q99677,P25116,train
Q99678,O15218,train
Q99679,Q9Y2T5,train
Q99680,Q99680,val
Q99683,Q99683,train
Q99684,Q99684,train
Q99685,Q99685,train
Q99687,O14770,test
Q99689,Q99689,train
Q99697,Q96QS3,val
Q99698,Q99698,train
Q99700,Q99700,test
Q99704,Q7L591,test
Q99705,Q9NSD7,train
Q99706,Q8N6C5,train
Q99707,Q99707,train
Q99708,Q99708,val
Q99712,P48549,train
Q99714,Q6YN16,train
Q99715,Q99715,train
Q99717,Q13485,train
Q99719,Q9UHD8,train
Q99720,Q99720,train
Q99726,O14863,val
Q99727,Q99727,test
Q99728,Q99728,train
Q99729,O14979,train
Q99732,Q9H305,train
Q99733,Q99457,train
Q99735,P20292,train
Q99741,Q99741,train
Q99742,Q8IXF0,test
Q99743,O15516,train
Q99747,Q99747,train
Q99748,Q5T4W7,train
Q99750,Q99750,train
Q99755,A2A3N6,val
Q99757,Q8IXB1,train
Q99758,Q86UQ4,train
Q99759,Q99759,train
Q99766,Q9NW81,val
Q99767,Q02410,train
Q99784,Q68BL8,train
Q99788,Q9Y5Y4,train
Q99795,Q5DX21,train
Q99797,Q99797,train
Q99798,Q99798,train
Q99801,Q15270,train
Q99805,Q99805,train
Q99807,Q99807,train
Q99808,Q9BZD2,train
Q99811,Q96QS3,val
Q99814,Q99814,train
Q99816,Q99816,train
Q99819,Q99819,train
Q99828,Q99828,test
Q99829,Q9UBL6,train
Q99832,P17987,test
Q99835,Q99835,train
Q99836,Q99836,test
Q99848,Q99848,train
Q99853,Q12948,train
Q99856,Q99856,train
Q99865,Q9Y657,train
Q99871,Q99871,train
Q99873,Q86X55,train
Q99877,Q6DN03,train
Q99878,Q9P0M6,val
Q99879,Q6DN03,train
Q99880,Q6DN03,train
Q99884,Q9Y345,train
Q99895,Q5K4E3,train
Q99909,Q9NQV7,val
Q99928,Q9UN88,val
Q99929,Q7RTU5,train
Q99932,Q99932,train
Q99933,Q99933,train
Q99935,Q99935,train
Q99941,Q99941,train
Q99942,Q96GF1,test
Q99943,Q99943,train
Q99944,O75095,train
Q99946,Q99946,train
Q99952,Q9UMZ3,test
Q99956,Q9BY84,train
Q99958,Q12948,train
Q99959,Q9UQB3,test
Q99961,Q99961,train
Q99962,Q99961,train
Q99963,Q99961,train
Q99965,Q8TC27,train
Q99966,Q99967,val
Q99967,Q99967,val
Q99969,Q99969,train
Q99972,O94910,val
Q99973,Q99973,train
Q99983,Q9NZU1,train
Q99985,Q9P283,test
Q99986,Q86Y07,val
Q99988,P27539,train
Q99990,A8MV65,train
Q99996,Q99996,train
Q99999,Q96RP7,train
Q9BPU6,O14531,train
Q9BPU9,Q9BPU9,train
Q9BPV8,O14626,train
Q9BPW4,O95236,train
Q9BPW5,Q9NYN1,train
Q9BPW8,O75323,train
Q9BPW9,P80365,train
Q9BPX1,Q9BPX1,train
Q9BPX3,Q9BPX3,train
Q9BPX5,Q9BPX5,val
Q9BPX6,Q9BPX6,train
Q9BPX7,Q9BPX7,test
Q9BPY3,Q9NWS6,train
Q9BPY8,Q9BPY8,train
Q9BPZ2,Q9Y657,train
Q9BPZ3,Q9BPZ3,val
Q9BPZ7,Q9BPZ7,test
Q9BQ04,Q96PK6,val
Q9BQ08,Q9BQ08,train
Q9BQ13,Q96MP8,val
Q9BQ15,Q9BQ15,train
Q9BQ16,Q08629,train
Q9BQ24,Q9Y2I7,train
Q9BQ31,Q92953,test
Q9BQ39,Q8TDD1,train
Q9BQ48,Q9BQ48,test
Q9BQ49,Q9BQ49,train
Q9BQ50,Q9NSU2,train
Q9BQ51,Q5ZPR3,train
Q9BQ52,Q9BQ52,train
Q9BQ61,Q9BQ61,train
Q9BQ65,Q9BQ65,train
Q9BQ66,A8MXZ3,val
Q9BQ67,Q9BQ67,train
Q9BQ69,A1Z1Q3,val
Q9BQ70,Q9BQ70,val
Q9BQ75,Q9BQ75,train
Q9BQ83,Q9BQ83,train
Q9BQ87,O60907,train
Q9BQ89,Q8TC76,train
Q9BQ90,P51610,test
Q9BQ95,Q9BQ95,train
Q9BQA1,Q9BQA1,train
Q9BQA5,Q9BQA5,test
Q9BQA9,Q9BQA9,train
Q9BQB4,Q9BQB4,val
Q9BQB6,Q8N0U8,train
Q9BQC3,Q9BQC3,train
Q9BQC6,Q9BQC6,train
Q9BQD3,Q9BQD3,test
Q9BQD7,Q9BQD7,train
Q9BQE3,P68363,train
Q9BQE4,Q9BQE4,test
Q9BQE5,Q9BWW9,train
Q9BQE6,Q9BQE6,train
Q9BQE9,Q8WUZ0,train
Q9BQF6,Q9BQF6,train
Q9BQG0,Q9BQG0,train
Q9BQG1,Q9BQG1,train
Q9BQG2,Q9BQG2,test
Q9BQI0,Q9BQI0,train
Q9BQI3,Q9P2K8,train
Q9BQI4,Q9BQI4,train
Q9BQI5,O14526,train
Q9BQI6,Q9BQI6,train
Q9BQI7,Q8NDX1,test
Q9BQI9,Q9BQI9,train
Q9BQJ4,Q9BQJ4,test
Q9BQK8,Q92539,train
Q9BQL6,Q96AC1,test
Q9BQM9,Q9BQM9,train
Q9BQN1,Q9BQN1,train
Q9BQP7,Q9BQP7,test
Q9BQP9,Q9BQP9,train
Q9BQQ3,Q9H8Y8,train
Q9BQQ7,Q14D33,train
Q9BQR3,P08519,train
Q9BQS2,Q9BQG1,train
Q9BQS7,P00451,train
Q9BQS8,Q9BQS8,train
Q9BQT8,Q9BQT8,train
Q9BQT9,O94985,train
Q9BQW3,Q9BQW3,train
Q9BQY4,P0C7M4,val
Q9BQY9,Q96EV8,test
Q9BR01,O00204,train
Q9BR09,Q96JN8,train
Q9BR10,Q9BR10,test
Q9BR11,Q9BR11,train
Q9BR26,Q9BR26,train
Q9BR39,Q8WXH2,train
Q9BR46,Q9BR46,train
Q9BR61,Q9BR61,train
Q9BR76,P57737,train
Q9BR77,Q9BR77,train
Q9BR84,O43345,val
Q9BRA0,Q9BRA0,train
Q9BRA2,Q9BRA2,train
Q9BRB3,Q9BRB3,train
Q9BRC7,Q9P212,test
Q9BRD0,Q9BRD0,train
Q9BRF8,Q9BRF8,test
Q9BRG1,Q9BRG1,train
Q9BRG2,Q8N5H7,train
Q9BRH9,O43345,val
Q9BRI3,O14863,val
Q9BRJ2,Q9BRJ2,train
Q9BRJ6,Q9BRJ6,train
Q9BRJ7,Q9BRJ7,train
Q9BRJ9,Q0VG99,train
Q9BRK0,Q9H6H4,test
Q9BRK3,Q9BRK3,val
Q9BRK4,O15049,train
Q9BRK5,Q9BRK5,train
Q9BRL6,Q86U42,train
Q9BRN9,Q9BRN9,train
Q9BRP0,P57071,train
Q9BRP1,Q9BRP1,train
Q9BRP4,Q9BRP4,train
Q9BRP7,Q9BRP7,test
Q9BRP8,Q9BRP8,test
Q9BRP9,Q9BRP9,val
Q9BRQ0,Q9Y3Y4,train
Q9BRQ3,Q9BRQ3,train
Q9BRQ4,Q9BRQ4,test
Q9BRQ5,Q96D31,train
Q9BRQ6,Q9BRQ6,train
Q9BRQ8,Q9BRQ8,train
Q9BRR0,P57071,train
Q9BRR3,Q9BRR3,train
Q9BRR6,Q9BRR6,train
Q9BRR8,Q9BRR8,train
Q9BRR9,Q6ZUM4,train
Q9BRS2,Q9BRS2,train
Q9BRS8,Q9BRS8,train
Q9BRT2,Q9BRT2,train
Q9BRT3,Q9BRT3,train
Q9BRT6,Q9BRT6,train
Q9BRT8,Q4V339,train
Q9BRT9,Q9BRT9,test
Q9BRU2,Q8IYN2,train
Q9BRU9,Q9BRU9,test
Q9BRV3,Q9BRV3,val
Q9BRV8,Q9NVK5,train
Q9BRX2,Q9BRX2,train
Q9BRX5,Q9BRX5,val
Q9BRX8,Q9BRX8,train
Q9BRX9,Q9BRX9,train
Q9BRY0,Q9NY26,train
Q9BRZ2,Q9BRZ2,test
Q9BS16,Q9BS16,train
Q9BS18,Q9BS18,val
Q9BS26,Q9BS26,train
Q9BS31,P57071,train
Q9BS34,O43345,val
Q9BS40,P49788,train
Q9BS86,Q9BS86,test
Q9BS91,Q9BS91,test
Q9BS92,Q9BS92,train
Q9BSA4,Q9BSA4,train
Q9BSA9,Q9BSA9,train
Q9BSB4,Q9BSB4,test
Q9BSC4,Q9BSC4,val
Q9BSD3,Q9BSD3,val
Q9BSD7,Q9BSD7,train
Q9BSE2,Q9BSE2,train
Q9BSE4,Q9BSE4,train
Q9BSE5,Q9BSE5,train
Q9BSF0,Q9BSF0,train
Q9BSF4,Q9BSF4,val
Q9BSF8,Q9BSF8,test
Q9BSG1,O43345,val
Q9BSG5,Q9BSG5,train
Q9BSH3,Q9BSH3,train
Q9BSH4,Q9BSH4,train
Q9BSH5,Q9BSH5,train
Q9BSI4,Q9BSI4,train
Q9BSJ1,O15553,test
Q9BSJ2,Q9BSJ2,train
Q9BSJ5,Q9BSJ5,train
Q9BSJ6,Q9BSJ6,train
Q9BSJ8,Q9BSJ8,train
Q9BSK0,Q9BSK0,train
Q9BSK1,O43345,val
Q9BSK2,Q9BSK2,train
Q9BSK4,Q9BSK4,test
Q9BSL1,Q9BSL1,train
Q9BSM1,Q9BYE7,train
Q9BSN7,Q9BSN7,train
Q9BSQ5,Q9NUG4,train
Q9BSR8,Q9BSR8,train
Q9BST9,Q8IZC4,train
Q9BSU1,Q9BSU1,val
Q9BSU3,P41227,val
Q9BSV6,Q9BSV6,test
Q9BSW2,Q9BSW2,train
Q9BSW7,Q9BQG1,train
Q9BSY4,Q9BSY4,train
Q9BSY9,Q9BSY9,train
Q9BT04,Q9BT04,train
Q9BT09,Q9BT09,val
Q9BT17,Q13823,train
Q9BT22,Q9BT22,train
Q9BT23,Q9UHB6,train
Q9BT25,Q9BT25,train
Q9BT30,Q9BT30,train
Q9BT40,Q15735,train
Q9BT43,O15318,train
Q9BT49,Q9BT49,train
Q9BT56,Q9BT56,train
Q9BT67,Q9NV92,train
Q9BT73,Q9BT73,train
Q9BT76,Q9BT76,val
Q9BT78,Q9BT78,train
Q9BT81,P48436,train
Q9BT88,Q9Y2J0,train
Q9BT92,Q9BT92,train
Q9BTA0,Q96KS9,val
Q9BTA9,Q9BTA9,test
Q9BTC0,Q9BTC0,train
Q9BTC8,Q13330,val
Q9BTD1,Q9BTD1,train
Q9BTD3,Q9BTD3,train
Q9BTD8,Q9BTD8,val
Q9BTE1,Q9BTE1,test
Q9BTE3,Q9BTE3,train
Q9BTE6,Q9BTE6,val
Q9BTE7,Q8IWE4,val
Q9BTF0,Q9BTF0,train
Q9BTK6,Q9BTK6,train
Q9BTL3,A0A3B3IU46,train
Q9BTL4,Q9BTL4,train
Q9BTM1,Q9P0M6,val
Q9BTM9,Q9BTM9,test
Q9BTN0,Q9ULH4,train
Q9BTP6,Q96IU2,train
Q9BTP7,Q9BTP7,train
Q9BTT0,Q96FV0,train
Q9BTT4,Q9BTT4,train
Q9BTT6,Q14160,train
Q9BTU6,Q8TCG2,train
Q9BTV4,Q9BTV4,train
Q9BTV5,Q9BXM9,train
Q9BTV6,Q9BTV6,train
Q9BTV7,Q8TDN4,train
Q9BTW9,Q9BTW9,train
Q9BTX1,Q9BTX1,val
Q9BTX3,Q9BTX3,train
Q9BTX7,Q8IUQ0,train
Q9BTY2,Q9BTY2,train
Q9BTY7,Q9BTY7,train
Q9BTZ2,P0CG22,train
Q9BU02,Q9BU02,test
Q9BU19,Q9BU19,val
Q9BU20,Q9BU20,train
Q9BU23,Q96S06,val
Q9BU40,Q9BU40,train
Q9BU61,Q9BU61,train
Q9BU64,Q9BU64,train
Q9BU68,Q8IV56,train
Q9BU70,Q9BU70,test
Q9BU76,Q9BU76,train
Q9BU79,Q9BU79,train
Q9BU89,Q9BU89,train
Q9BUA3,Q9BUA3,train
Q9BUA6,Q9BUA6,val
Q9BUB4,Q9BUB4,val
Q9BUB5,Q9C098,train
Q9BUB7,Q9BUB7,val
Q9BUD6,Q9HCB6,train
Q9BUE0,Q9BUE0,train
Q9BUE6,Q9BUE6,train
Q9BUF5,Q9UJT0,train
Q9BUF7,Q9BUF7,train
Q9BUG6,P0CG00,train
Q9BUH6,Q9BUH6,train
Q9BUH8,Q9BUH8,train
Q9BUI4,Q9BUI4,train
Q9BUJ0,Q9BUJ0,val
Q9BUJ2,Q9BUJ2,test
Q9BUK0,Q9BUK0,train
Q9BUK6,Q9BUK6,train
Q9BUL5,Q9BUL5,test
Q9BUL8,Q9BUL8,train
Q9BUL9,Q9BUL9,val
Q9BUM1,P35575,val
Q9BUN1,Q9BUN1,train
Q9BUN5,Q8IWP9,train
Q9BUN8,Q9BUN8,val
Q9BUP0,Q96C19,train
Q9BUP3,Q9BUP3,test
Q9BUQ8,Q7L014,train
Q9BUR4,Q9BUR4,train
Q9BUR5,Q6UXV4,train
Q9BUT1,Q9BPX1,train
Q9BUT9,Q9BUT9,train
Q9BUU2,Q9BUU2,train
Q9BUV0,Q9BUV0,train
Q9BUV8,Q9BUV8,train
Q9BUW7,Q9BUW7,train
Q9BUX1,Q9BUX1,train
Q9BUY5,O43345,val
Q9BUY7,Q9BUY7,train
Q9BUZ4,Q9BUZ4,train
Q9BV10,Q9BV10,val
Q9BV19,Q9BV19,train
Q9BV20,Q9BV20,train
Q9BV23,Q9BV23,val
Q9BV29,Q9BV29,train
Q9BV35,Q86VD7,train
Q9BV36,Q9BV36,train
Q9BV38,Q9BV38,train
Q9BV40,O75379,train
Q9BV44,Q9BV44,train
Q9BV47,Q5VZP5,train
Q9BV57,Q9BV57,val
Q9BV68,Q9BV68,test
Q9BV73,Q9BV73,train
Q9BV79,Q9BV79,train
Q9BV81,Q9BV81,train
Q9BV86,Q5VVY1,val
Q9BV87,Q9BV87,train
Q9BV90,Q9BV90,train
Q9BV94,Q9BZQ6,train
Q9BV97,A8K8V0,test
Q9BV99,Q9BV99,train
Q9BVA0,Q9BVA0,test
Q9BVA1,Q9UJT0,train
Q9BVA6,Q9BVA6,train
Q9BVC3,Q9BVC3,train
Q9BVC4,Q9BVC4,train
Q9BVC5,Q9BVC5,train
Q9BVC6,Q9BVC6,train
Q9BVG3,Q86WT6,train
Q9BVG4,Q9BVG4,test
Q9BVG8,Q96AC6,train
Q9BVG9,Q9BVG9,val
Q9BVH7,Q9BVH7,test
Q9BVI0,A8MW92,test
Q9BVI4,Q9BVI4,train
Q9BVJ6,Q9BVJ6,test
Q9BVJ7,Q9ULE6,val
Q9BVK2,Q9BVK2,train
Q9BVK6,Q9BVK6,test
Q9BVL2,Q9BVL2,test
Q9BVL4,Q9BVL4,train
Q9BVM2,Q9BVM2,train
Q9BVM4,Q9BVM4,test
Q9BVN2,Q9BVN2,val
Q9BVP2,Q13823,train
Q9BVQ7,Q9ULI0,val
Q9BVR0,O95714,train
Q9BVS4,Q9BVS4,train
Q9BVS5,Q9BVS5,val
Q9BVT8,Q71RG4,val
Q9BVV2,Q9BVV2,train
Q9BVV6,Q9BVV6,train
Q9BVV7,Q9BVV7,train
Q9BVV8,Q9BVV8,train
Q9BVW5,Q9BVW5,train
Q9BVW6,Q9BVW6,train
Q9BVX2,Q9NUM4,train
Q9BW04,Q9BW04,train
Q9BW11,P50539,train
Q9BW19,Q96AC6,train
Q9BW27,Q9BW27,train
Q9BW30,O94811,val
Q9BW60,Q9GZR5,val
Q9BW61,Q9BW61,train
Q9BW62,O43933,train
Q9BW66,Q9BW66,val
Q9BW71,Q9BW71,train
Q9BW72,Q4VC39,val
Q9BW83,Q8IZ41,train
Q9BW85,P13994,val
Q9BW91,O94759,train
Q9BW92,A2RTX5,train
Q9BWC9,Q9BWC9,train
Q9BWD1,P55084,train
Q9BWE0,O43345,val
Q9BWF2,Q9BWF2,train
Q9BWF3,Q96PK6,val
Q9BWG4,Q9BWW4,train
Q9BWG6,Q9BWG6,train
Q9BWH2,Q9BWH2,train
Q9BWH6,Q9BWH6,train
Q9BWJ5,Q9BWJ5,test
Q9BWK5,Q9BWK5,val
Q9BWL3,Q9BWL3,train
Q9BWM5,O43345,val
Q9BWM7,Q8TD22,train
Q9BWN1,Q9BWN1,train
Q9BWP8,Q9Y6Z7,train
Q9BWQ6,Q9BWQ6,test
Q9BWQ8,Q7Z429,train
Q9BWS9,Q9BWS9,train
Q9BWT1,Q96GN5,test
Q9BWT3,P51003,train
Q9BWT6,Q9BWT6,test
Q9BWT7,Q9BXL7,train
Q9BWU0,Q9BWU0,train
Q9BWU1,Q13164,train
Q9BWV1,Q4KMG0,val
Q9BWV2,Q9BWV2,train
Q9BWV3,Q9BWV3,train
Q9BWV7,Q14679,train
Q9BWW4,Q9BWW4,train
Q9BWW7,P08047,train
Q9BWW8,Q9BWW9,train
Q9BWW9,Q9BWW9,train
Q9BWX1,Q7L622,train
Q9BWX5,Q92908,train
Q9BX10,O00178,train
Q9BX26,Q9BX26,val
Q9BX40,Q8ND56,train
Q9BX46,Q9H0Z9,train
Q9BX59,O15533,train
Q9BX63,Q9BX63,train
Q9BX66,Q9BX66,train
Q9BX67,Q5DX21,train
Q9BX68,Q9BX68,train
Q9BX69,Q9BX69,val
Q9BX70,Q96KE9,val
Q9BX79,Q9BX79,val
Q9BX82,O43345,val
Q9BX84,Q9BX84,train
Q9BX93,Q9BX93,train
Q9BX95,Q9BX95,train
Q9BX97,Q9BX97,train
Q9BXA5,Q96G91,train
Q9BXA6,Q9Y2K2,train
Q9BXA7,Q9Y2K2,train
Q9BXA9,Q9NSC2,val
Q9BXB1,Q9HBX8,test
Q9BXB4,Q9BZF1,train
Q9BXB5,Q9BZF1,train
Q9BXB7,Q9BXB7,val
Q9BXC0,P49019,train
Q9BXC1,O14626,train
Q9BXC9,Q9BXC9,train
Q9BXD5,Q9BXD5,train
Q9BXF3,Q9BXF3,train
Q9BXF6,Q6WKZ4,train
Q9BXF9,Q9BXF9,train
Q9BXG8,Q9BXG8,train
Q9BXH1,Q9BXH1,train
Q9BXI2,P53007,train
Q9BXI3,Q96P26,val
Q9BXI6,Q4KMP7,test
Q9BXI9,Q9BXI9,train
Q9BXJ0,A6NHN0,train
Q9BXJ1,A6NHN0,train
Q9BXJ2,A6NHN0,train
Q9BXJ3,Q9BXJ3,val
Q9BXJ4,Q6IMN6,test
Q9BXJ5,A6NHN0,train
Q9BXJ7,Q9BXJ7,val
Q9BXJ8,Q9BXJ8,val
Q9BXJ9,Q9BXJ9,train
Q9BXK1,P08047,train
Q9BXK5,Q9BXK5,test
Q9BXL5,Q9BXL5,train
Q9BXL6,Q9BXL7,train
Q9BXL7,Q9BXL7,train
Q9BXL8,Q9BXL8,train
Q9BXM0,Q9BXM0,train
Q9BXM7,Q9BXM7,test
Q9BXM9,Q9BXM9,train
Q9BXN1,Q9NZU1,train
Q9BXN2,Q9BXN2,train
Q9BXN6,Q9NS25,train
Q9BXP2,P55011,train
Q9BXP5,Q9BXP5,train
Q9BXP8,Q9BXP8,train
Q9BXQ6,Q9BXQ6,val
Q9BXR0,Q9BXR0,train
Q9BXR3,P63135,train
Q9BXR5,Q9BXR5,test
Q9BXR6,P08603,train
Q9BXS0,Q9BXS0,train
Q9BXS1,Q13907,val
Q9BXS4,Q9UK28,train
Q9BXS5,Q96CW1,test
Q9BXS6,Q9BXS6,train
Q9BXS9,O43511,test
Q9BXT2,Q9BXT2,train
Q9BXT4,Q9BXT4,train
Q9BXT5,Q9BXT5,train
Q9BXT6,Q9BXT6,train
Q9BXT8,Q9BXT8,train
Q9BXU0,Q9BXU0,val
Q9BXU1,Q9BXU1,train
Q9BXU2,Q9BXU3,train
Q9BXU3,Q9BXU3,train
Q9BXU7,Q86T82,train
Q9BXU8,Q8N4E7,train
Q9BXU9,Q9BXU9,train
Q9BXV9,Q9BXV9,train
Q9BXW4,Q9BXW4,train
Q9BXW6,Q9BZF3,val
Q9BXW7,Q9BXW7,train
Q9BXW9,Q9BXW9,train
Q9BXX0,Q9BXX0,test
Q9BXX2,Q9UPS8,train
Q9BXX3,Q9UPS8,train
Q9BXY0,Q9BXY0,train
Q9BXY4,Q9BXY4,val
Q9BXY5,Q9BXY5,train
Q9BXY8,Q9BXY8,train
Q9BY07,P04920,train
Q9BY08,Q15125,train
Q9BY10,Q9BY10,train
Q9BY11,Q9UNF0,val
Q9BY12,Q9BY12,test
Q9BY14,Q8N6Q3,val
Q9BY15,O94910,val
Q9BY19,Q3C1V0,train
Q9BY21,O14626,train
Q9BY27,Q14129,val
Q9BY31,O43345,val
Q9BY32,Q9BY32,train
Q9BY41,Q92769,train
Q9BY42,Q9BY42,test
Q9BY43,Q96CF2,train
Q9BY44,Q9BY44,train
Q9BY49,Q9Y394,train
Q9BY50,Q9BY50,train
Q9BY60,Q9BXW4,train
Q9BY64,Q16880,train
Q9BY66,P29375,test
Q9BY67,Q9BY67,train
Q9BY71,Q6NUI6,train
Q9BY76,P02671,test
Q9BY77,Q9BY77,val
Q9BY78,Q9BY78,train
Q9BY79,Q9Y6L7,train
Q9BY84,Q9BY84,train
Q9BY89,Q9BY89,train
Q9BYB0,Q9Y566,val
Q9BYB4,Q9BYB4,train
Q9BYC2,P55809,train
Q9BYC5,Q9BYC5,train
Q9BYC8,Q9BYC8,test
Q9BYC9,Q9BYC9,val
Q9BYD1,Q9BYD1,train
Q9BYD2,Q9BYD2,train
Q9BYD3,Q9BYD3,train
Q9BYD6,Q9BYD6,train
Q9BYD9,A5A3E0,train
Q9BYE0,Q9BYE0,train
Q9BYE2,P98073,train
Q9BYE3,Q5T751,train
Q9BYE4,Q5T870,test
Q9BYE7,Q9BYE7,train
Q9BYE9,Q9BYE9,train
Q9BYF1,P12821,train
Q9BYG0,Q6UX72,train
Q9BYG3,Q9BYG3,train
Q9BYG4,Q9BYG4,val
Q9BYG5,Q9BYG4,val
Q9BYG7,Q7Z745,train
Q9BYG8,Q9BYG8,val
Q9BYH1,Q9BYH1,train
Q9BYH8,Q9BYH8,train
Q9BYI3,Q8IXS8,val
Q9BYJ0,Q9BYJ0,train
Q9BYJ1,Q9BYJ1,train
Q9BYJ4,Q8IYM9,train
Q9BYJ9,Q7Z739,train
Q9BYK8,Q9BYK8,val
Q9BYL1,Q9BYL1,train
Q9BYM8,Q9BYM8,train
Q9BYN0,Q9BYN0,val
Q9BYN7,Q9BYN7,train
Q9BYN8,Q9BYN8,train
Q9BYP7,Q9H4A3,train
Q9BYP9,A8MXZ3,val
Q9BYQ0,A8MXZ3,val
Q9BYQ2,A8MXZ3,val
Q9BYQ3,A8MXZ3,val
Q9BYQ4,A8MXZ3,val
Q9BYQ5,A8MXZ3,val
Q9BYQ6,A8MXZ3,val
Q9BYQ7,P60372,train
Q9BYQ8,A8MXZ3,val
Q9BYR0,A8MXZ3,val
Q9BYR2,A8MXZ3,val
Q9BYR3,A8MXZ3,val
Q9BYR4,A8MXZ3,val
Q9BYR5,A8MXZ3,val
Q9BYR6,Q9BYR6,test
Q9BYR7,Q9BYR6,test
Q9BYR8,Q9BYR6,test
Q9BYR9,P0C7H8,train
Q9BYS1,A8MXZ3,val
Q9BYS8,Q14160,train
Q9BYT1,Q9BYT1,train
Q9BYT3,Q32MK0,train
Q9BYT5,P0C7H8,train
Q9BYT8,Q9BYT8,train
Q9BYT9,Q9NQ90,test
Q9BYU1,P40426,train
Q9BYU5,P0C7H8,train
Q9BYV1,P04181,train
Q9BYV2,Q9BYV6,test
Q9BYV6,Q9BYV6,test
Q9BYV7,Q9BYV7,train
Q9BYV8,Q9BYV8,test
Q9BYV9,Q9BYV9,train
Q9BYW1,Q9NRM0,train
Q9BYW2,Q9BYW2,train
Q9BYW3,Q9BYW3,val
Q9BYX2,Q9UPU7,train
Q9BYX4,Q9BYX4,val
Q9BYX7,A5A3E0,train
Q9BYZ2,Q8IX04,val
Q9BYZ6,Q9BYZ6,test
Q9BYZ8,P16112,train
Q9BZ11,Q9H013,train
Q9BZ19,Q9BZ19,train
Q9BZ23,Q9NVE7,test
Q9BZ29,Q96BY6,train
Q9BZ67,Q9BZ67,val
Q9BZ68,Q9BZ67,val
Q9BZ71,Q9BZ72,train
Q9BZ72,Q9BZ72,train
Q9BZ76,P78357,train
Q9BZ81,Q12816,train
Q9BZ95,Q96L73,train
Q9BZA0,Q9BZA0,train
Q9BZA5,Q9BZA5,train
Q9BZA7,Q6V0I7,test
Q9BZA8,Q6V0I7,test
Q9BZB8,Q9BZB8,train
Q9BZC1,O95319,train
Q9BZC7,Q86UQ4,train
Q9BZD2,Q9BZD2,train
Q9BZD4,Q9BZD4,train
Q9BZD6,Q9BZD6,train
Q9BZD7,Q9BZD7,test
Q9BZE0,Q8NBF1,train
Q9BZE1,Q9BZE1,train
Q9BZE2,Q9BZE2,test
Q9BZE3,Q9NY43,train
Q9BZE4,Q9BZE4,train
Q9BZE7,Q9BZE7,train
Q9BZE9,Q9BZE9,test
Q9BZF1,Q9BZF1,train
Q9BZF2,Q9BZF3,val
Q9BZF3,Q9BZF3,val
Q9BZF9,Q9BZF9,train
Q9BZG1,Q9BSW2,train
Q9BZG2,Q9BZG2,test
Q9BZG8,Q9BZG8,train
Q9BZH6,Q9BZH6,train
Q9BZI1,P78413,train
Q9BZI7,Q9BZI7,test
Q9BZJ0,Q9BZJ0,train
Q9BZJ3,P08519,train
Q9BZJ4,Q9BZJ4,train
Q9BZJ6,Q9BZJ6,train
Q9BZJ7,Q9BZJ8,train
Q9BZJ8,Q9BZJ8,train
Q9BZK3,E9PAV3,train
Q9BZK7,O60907,train
Q9BZK8,Q9BZK8,val
Q9BZL1,Q9BZL1,train
Q9BZL3,Q9BZL3,train
Q9BZL4,O14974,train
Q9BZL6,Q15139,train
Q9BZM1,Q9BX93,train
Q9BZM2,Q9BZM2,train
Q9BZM3,P31260,test
Q9BZM4,Q6H3X3,train
Q9BZM5,Q6H3X3,train
Q9BZM6,Q6H3X3,train
Q9BZP3,Q9BZP3,train
Q9BZP6,Q12889,test
Q9BZQ2,Q8NEM2,train
Q9BZQ4,Q9BZQ4,val
Q9BZQ6,Q9BZQ6,train
Q9BZQ8,Q9BZQ8,train
Q9BZR6,Q7L0X0,test
Q9BZR8,Q9BZR8,train
Q9BZR9,Q9BZR9,train
Q9BZS1,O15409,train
Q9BZS9,Q9BZS9,train
Q9BZV1,Q9BZV1,train
Q9BZV2,P41440,val
Q9BZV3,Q9BZV3,train
Q9BZW2,Q9UKG4,train
Q9BZW4,Q9BZW4,train
Q9BZW7,Q66GS9,train
Q9BZW8,Q9BZW8,train
Q9BZX2,Q9NWZ5,train
Q9BZX4,Q96C74,train
Q9BZY9,O15553,test
Q9BZZ2,Q9BZZ2,test
Q9BZZ5,Q9BZZ5,val
Q9C000,Q9C000,train
Q9C004,O43609,train
Q9C005,Q9C005,train
Q9C009,Q12948,train
Q9C010,P61925,test
Q9C019,Q12899,test
Q9C026,Q6ZTA4,train
Q9C029,Q8WV44,train
Q9C030,Q8IYM9,train
Q9C035,Q8IYM9,train
Q9C037,Q9C037,test
Q9C040,Q2Q1W2,test
Q9C056,P78426,train
Q9C073,Q6P1L5,train
Q9C075,P35527,train
Q9C086,Q9C086,train
Q9C091,Q4ZG55,train
Q9C093,Q9C093,train
Q9C098,Q9C098,train
Q9C099,Q9C099,val
Q9C0A0,P78357,train
Q9C0A1,Q15911,train
Q9C0A6,Q8IZD2,test
Q9C0B0,Q9C0B0,test
Q9C0B1,Q9C0B1,train
Q9C0B2,Q9C0B2,test
Q9C0B5,Q9ULC8,test
Q9C0B6,Q9C0B6,train
Q9C0B7,Q9C0B7,train
Q9C0B9,Q9C0B9,train
Q9C0C2,Q9C0C2,test
Q9C0C4,Q9P283,test
Q9C0C6,Q9C0C6,train
Q9C0C7,Q9C0C7,test
Q9C0C9,Q9C0C9,train
Q9C0D0,Q8IZ21,train
Q9C0D2,Q9C0D2,train
Q9C0D3,Q6WRX3,test
Q9C0D4,Q9C0D4,train
